date,state,district,pincode,demo_age_5_17,demo_age_17_
09-09-2025,Kerala,Kozhikode,673571,2,20
09-09-2025,Kerala,Kozhikode,673574,2,14
09-09-2025,Kerala,Kozhikode,673586,3,18
09-09-2025,Kerala,Kozhikode,673602,1,13
09-09-2025,Kerala,Kozhikode,673631,1,19
10-09-2025,Kerala,Kozhikode,673631,2,14
10-09-2025,Kerala,Kozhikode,673012,1,5
10-09-2025,Kerala,Kozhikode,673029,0,5
10-09-2025,Kerala,Kozhikode,673307,4,11
10-09-2025,Kerala,Kozhikode,673328,0,5
10-09-2025,Kerala,Kozhikode,673508,1,14
10-09-2025,Kerala,Kozhikode,673509,0,7
10-09-2025,Kerala,Kozhikode,673529,0,7
10-09-2025,Kerala,Kozhikode,673570,0,1
10-09-2025,Kerala,Kozhikode,673573,6,22
10-09-2025,Kerala,Kozhikode,673586,2,14
10-09-2025,Kerala,Kozhikode,673611,2,13
11-09-2025,Kerala,Kozhikode,673003,1,19
11-09-2025,Kerala,Kozhikode,673007,1,8
11-09-2025,Kerala,Kozhikode,673014,0,7
11-09-2025,Kerala,Kozhikode,673104,0,16
11-09-2025,Kerala,Kozhikode,673306,1,4
11-09-2025,Kerala,Kozhikode,673307,3,9
11-09-2025,Kerala,Kozhikode,673502,2,6
11-09-2025,Kerala,Kozhikode,673522,0,9
11-09-2025,Kerala,Kozhikode,673523,2,16
11-09-2025,Kerala,Kozhikode,673526,0,5
11-09-2025,Kerala,Kozhikode,673571,4,22
11-09-2025,Kerala,Kozhikode,673573,4,15
11-09-2025,Kerala,Kozhikode,673582,2,10
11-09-2025,Kerala,Kozhikode,673602,1,12
11-09-2025,Kerala,Kozhikode,673603,0,13
11-09-2025,Kerala,Kozhikode,673613,0,7
11-09-2025,Kerala,Kozhikode,673615,0,2
11-09-2025,Kerala,Kozhikode,673616,0,5
12-09-2025,Kerala,Kozhikode,673003,0,19
12-09-2025,Kerala,Kozhikode,673004,0,1
12-09-2025,Kerala,Kozhikode,673103,0,2
12-09-2025,Kerala,Kozhikode,673503,3,2
12-09-2025,Kerala,Kozhikode,673513,0,12
12-09-2025,Kerala,Kozhikode,673523,0,11
12-09-2025,Kerala,Kozhikode,673526,0,2
12-09-2025,Kerala,Kozhikode,673528,0,7
12-09-2025,Kerala,Kozhikode,673541,0,8
12-09-2025,Kerala,Kozhikode,673571,4,20
12-09-2025,Kerala,Kozhikode,673573,1,18
12-09-2025,Kerala,Kozhikode,673601,0,5
12-09-2025,Kerala,Kozhikode,673604,4,9
12-09-2025,Kerala,Kozhikode,673661,4,14
13-09-2025,Kerala,Kozhikode,673002,0,4
13-09-2025,Kerala,Kozhikode,673007,2,3
13-09-2025,Kerala,Kozhikode,673008,1,10
13-09-2025,Kerala,Kozhikode,673012,0,3
13-09-2025,Kerala,Kozhikode,673015,4,7
13-09-2025,Kerala,Kozhikode,673103,0,1
13-09-2025,Kerala,Kozhikode,673105,2,6
13-09-2025,Kerala,Kozhikode,673106,0,2
13-09-2025,Kerala,Kozhikode,673304,0,2
13-09-2025,Kerala,Kozhikode,673504,2,2
13-09-2025,Kerala,Kozhikode,673505,1,4
13-09-2025,Kerala,Kozhikode,673508,7,8
13-09-2025,Kerala,Kozhikode,673523,0,4
13-09-2025,Kerala,Kozhikode,673525,2,11
13-09-2025,Kerala,Kozhikode,673572,4,15
13-09-2025,Kerala,Kozhikode,673603,3,5
13-09-2025,Kerala,Kozhikode,673611,0,5
13-09-2025,Kerala,Kozhikode,673632,0,3
14-09-2025,Kerala,Kozhikode,673504,0,1
15-09-2025,Kerala,Kozhikode,673002,0,1
15-09-2025,Kerala,Kozhikode,673008,2,24
15-09-2025,Kerala,Kozhikode,673011,1,6
15-09-2025,Kerala,Kozhikode,673028,3,14
15-09-2025,Kerala,Kozhikode,673032,0,1
15-09-2025,Kerala,Kozhikode,673103,0,5
15-09-2025,Kerala,Kozhikode,673307,2,10
15-09-2025,Kerala,Kozhikode,673508,2,21
15-09-2025,Kerala,Kozhikode,673509,1,6
15-09-2025,Kerala,Kozhikode,673524,1,9
15-09-2025,Kerala,Kozhikode,673542,2,23
15-09-2025,Kerala,Kozhikode,673616,0,9
15-09-2025,Kerala,Kozhikode,673631,3,13
15-09-2025,Kerala,Kozhikode,673655,0,9
16-09-2025,Kerala,Kozhikode,673003,3,13
16-09-2025,Kerala,Kozhikode,673004,0,1
16-09-2025,Kerala,Kozhikode,673008,1,14
16-09-2025,Kerala,Kozhikode,673018,0,1
16-09-2025,Kerala,Kozhikode,673019,5,23
16-09-2025,Kerala,Kozhikode,673020,0,1
16-09-2025,Kerala,Kozhikode,673021,1,2
16-09-2025,Kerala,Kozhikode,673104,3,20
16-09-2025,Kerala,Kozhikode,673308,0,5
16-09-2025,Kerala,Kozhikode,673317,1,8
16-09-2025,Kerala,Kozhikode,673523,0,4
16-09-2025,Kerala,Kozhikode,673524,2,12
16-09-2025,Kerala,Kozhikode,673526,1,3
16-09-2025,Kerala,Kozhikode,673529,1,8
16-09-2025,Kerala,Kozhikode,673580,2,2
16-09-2025,Kerala,Kozhikode,673602,1,19
16-09-2025,Kerala,Kozhikode,673614,3,20
16-09-2025,Kerala,Kozhikode,673620,5,16
17-09-2025,Kerala,Kozhikode,673004,2,2
17-09-2025,Kerala,Kozhikode,673008,0,20
17-09-2025,Kerala,Kozhikode,673016,0,3
17-09-2025,Kerala,Kozhikode,673027,1,4
17-09-2025,Kerala,Kozhikode,673029,1,3
17-09-2025,Kerala,Kozhikode,673102,2,7
17-09-2025,Kerala,Kozhikode,673309,0,1
17-09-2025,Kerala,Kozhikode,673317,2,7
17-09-2025,Kerala,Kozhikode,673323,1,5
17-09-2025,Kerala,Kozhikode,673328,0,5
17-09-2025,Kerala,Kozhikode,673521,1,12
17-09-2025,Kerala,Kozhikode,673526,0,2
17-09-2025,Kerala,Kozhikode,673527,0,4
17-09-2025,Kerala,Kozhikode,673528,1,4
17-09-2025,Kerala,Kozhikode,673574,2,16
17-09-2025,Kerala,Kozhikode,673585,0,6
17-09-2025,Kerala,Kozhikode,673613,1,5
17-09-2025,Kerala,Kozhikode,673615,0,1
17-09-2025,Kerala,Kozhikode,673631,0,12
18-09-2025,Kerala,Kozhikode,673007,3,5
18-09-2025,Kerala,Kozhikode,673019,2,21
18-09-2025,Kerala,Kozhikode,673032,1,1
18-09-2025,Kerala,Kozhikode,673101,0,3
18-09-2025,Kerala,Kozhikode,673102,1,4
18-09-2025,Kerala,Kozhikode,673305,1,7
18-09-2025,Kerala,Kozhikode,673308,0,7
18-09-2025,Kerala,Kozhikode,673315,2,5
18-09-2025,Kerala,Kozhikode,673502,5,5
18-09-2025,Kerala,Kozhikode,673505,2,4
18-09-2025,Kerala,Kozhikode,673527,0,6
18-09-2025,Kerala,Kozhikode,673572,3,25
18-09-2025,Kerala,Kozhikode,673601,2,12
18-09-2025,Kerala,Kozhikode,673611,4,9
18-09-2025,Kerala,Kozhikode,673613,0,6
18-09-2025,Kerala,Kozhikode,673631,3,6
19-09-2025,Kerala,Kozhikode,673001,0,2
19-09-2025,Kerala,Kozhikode,673008,1,16
19-09-2025,Kerala,Kozhikode,673011,0,5
19-09-2025,Kerala,Kozhikode,673012,1,6
19-09-2025,Kerala,Kozhikode,673014,0,7
19-09-2025,Kerala,Kozhikode,673016,1,8
19-09-2025,Kerala,Kozhikode,673017,0,2
19-09-2025,Kerala,Kozhikode,673027,1,8
19-09-2025,Kerala,Kozhikode,673032,0,3
19-09-2025,Kerala,Kozhikode,673303,1,8
19-09-2025,Kerala,Kozhikode,673305,0,4
19-09-2025,Kerala,Kozhikode,673317,0,6
19-09-2025,Kerala,Kozhikode,673323,1,4
19-09-2025,Kerala,Kozhikode,673541,2,14
19-09-2025,Kerala,Kozhikode,673573,1,25
19-09-2025,Kerala,Kozhikode,673580,2,9
19-09-2025,Kerala,Kozhikode,673602,5,8
19-09-2025,Kerala,Kozhikode,673604,3,2
19-09-2025,Kerala,Kozhikode,673614,0,18
19-09-2025,Kerala,Kozhikode,673632,0,4
13-10-2025,Kerala,Kozhikode,673008,0,7
13-10-2025,Kerala,Kozhikode,673009,0,1
13-10-2025,Kerala,Kozhikode,673303,2,4
13-10-2025,Kerala,Kozhikode,673306,0,3
