date,state,district,pincode,bio_age_5_17,bio_age_17_
11-12-2025,Kerala,Kozhikode,673029,0,1
11-12-2025,Kerala,Kozhikode,673305,0,1
11-12-2025,Kerala,Kozhikode,673309,1,0
11-12-2025,Kerala,Kozhikode,673506,2,5
05-12-2025,Kerala,Kozhikode,673002,1,0
22-12-2025,Kerala,Kozhikode,673615,0,1
23-12-2025,Kerala,Kozhikode,673018,0,6
26-12-2025,Kerala,Kozhikode,673639,0,1
25-12-2025,Kerala,Kozhikode,673105,0,1
25-12-2025,Kerala,Kozhikode,673306,1,1
25-12-2025,Kerala,Kozhikode,673527,2,0
25-12-2025,Kerala,Kozhikode,673582,0,1
25-12-2025,Kerala,Kozhikode,673614,0,1
25-12-2025,Kerala,Kozhikode,673616,0,1
25-12-2025,Kerala,Kozhikode,673661,0,1
24-12-2025,Kerala,Kozhikode,673615,0,1
14-12-2025,Kerala,Kozhikode,673306,0,1
14-12-2025,Kerala,Kozhikode,673522,0,1
10-12-2025,Kerala,Kozhikode,673006,0,4
07-12-2025,Kerala,Kozhikode,673009,0,1
07-12-2025,Kerala,Kozhikode,673614,0,1
07-12-2025,Kerala,Kozhikode,673633,0,1
11-12-2025,Kerala,Kozhikode,673007,0,2
11-12-2025,Kerala,Kozhikode,673010,1,2
11-12-2025,Kerala,Kozhikode,673012,0,1
11-12-2025,Kerala,Kozhikode,673505,0,1
11-12-2025,Kerala,Kozhikode,673572,0,1
11-12-2025,Kerala,Kozhikode,673602,0,2
21-12-2025,Kerala,Kozhikode,673003,0,1
21-12-2025,Kerala,Kozhikode,673573,0,1
18-12-2025,Kerala,Kozhikode,673018,0,3
15-12-2025,Kerala,Kozhikode,673004,0,2
15-12-2025,Kerala,Kozhikode,673302,1,2
13-12-2025,Kerala,Kozhikode,673504,0,2
13-12-2025,Kerala,Kozhikode,673639,0,2
30-11-2025,Kerala,Kozhikode,673006,0,1
30-11-2025,Kerala,Kozhikode,673010,0,3
30-11-2025,Kerala,Kozhikode,673020,0,2
30-11-2025,Kerala,Kozhikode,673028,0,1
30-11-2025,Kerala,Kozhikode,673524,0,1
01-03-2025,Kerala,Kozhikode,673513,69,71
01-03-2025,Kerala,Kozhikode,673523,49,84
01-03-2025,Kerala,Kozhikode,673105,51,90
01-04-2025,Kerala,Kozhikode,673029,22,41
01-04-2025,Kerala,Kozhikode,673580,50,62
01-04-2025,Kerala,Kozhikode,673541,69,90
01-03-2025,Kerala,Kozhikode,673106,29,65
01-03-2025,Kerala,Kozhikode,673012,60,104
01-03-2025,Kerala,Kozhikode,673614,113,115
01-03-2025,Kerala,Kozhikode,673011,33,46
01-03-2025,Kerala,Kozhikode,673542,110,133
01-04-2025,Kerala,Kozhikode,673328,25,34
01-04-2025,Kerala,Kozhikode,673661,113,115
01-03-2025,Kerala,Kozhikode,673102,26,55
01-03-2025,Kerala,Kozhikode,673104,82,152
01-04-2025,Kerala,Kozhikode,673633,31,76
01-04-2025,Kerala,Kozhikode,673004,14,23
01-04-2025,Kerala,Kozhikode,673005,74,63
01-04-2025,Kerala,Kozhikode,673507,127,156
01-04-2025,Kerala,Kozhikode,673502,44,71
01-04-2025,Kerala,Kozhikode,673304,38,42
01-04-2025,Kerala,Kozhikode,673613,53,56
01-04-2025,Kerala,Kozhikode,673014,76,55
01-04-2025,Kerala,Kozhikode,673032,13,20
01-04-2025,Kerala,Kozhikode,673573,154,248
01-04-2025,Kerala,Kozhikode,673028,75,55
01-05-2025,Kerala,Kozhikode,673521,130,93
01-05-2025,Kerala,Kozhikode,673006,24,27
01-05-2025,Kerala,Kozhikode,673524,252,220
01-05-2025,Kerala,Kozhikode,673018,50,26
01-05-2025,Kerala,Kozhikode,673009,25,21
01-06-2025,Kerala,Kozhikode,673517,58,52
